	name changed	name E	name D	synonyms D	category	category D	energy kJ	energy kcal	protein	water	starch	sugars	dietary fibres	fat, total
10	Pork chuck	Pork, chuck, roast, raw	Schwein, Schulter, Braten, roh		Meat	Fleisch und Innereien/Schwein	760	185	24.6	62.9	0	0	0	9
11	Beef breast	Beef, breast, cooked (without addition of fat and salt)	Rind, Brust, gekocht (ohne Zugabe von Fett und Salz)		Meat	Fleisch und Innereien/Rind	1310	315	31.5	46.2	0	0	0	21
13	Beef shoulder	Beef, shoulder, well done roast in oven (without addition of fat and salt)	"Rind, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)"		Meat	Fleisch und Innereien/Rind	800	190	34.8	57.7	0	0	0	6
15	Chicken, breast	Chicken, breast, without skin, raw (Switzerland)	Poulet, Brust, ohne Haut, roh (Schweiz)		Meat	Fleisch und Innereien/Geflügel	460	110	24.6	72.7		0	0	1
11	Dried apple	Apple, peeled, dried	Apfel, geschält, getrocknet	Dörrapfel	Fruit	Früchte/Früchte getrocknet	1250	295	1.5	20	0.1	60	9.2	2
12	Banana chips	Banana, dried (banana chips)	Banane, gedörrt	Bananenchips	Fruit	Früchte/Früchte getrocknet	1570	370	3.9	3	15.4	65.3	7.6	2
12	Dried banana	Banana, dried	Banane, getrocknet		Fruit	Früchte/Früchte getrocknet	1160	275	3	28	16.5	43.7	5.5	1
10	Dried date	Date, dried	Dattel, getrocknet		Fruit	Früchte/Früchte getrocknet	1290	305	2.5	17.5	0	69	7.1	1
13	Dried Raisins	Raisins, dried (grape)/ sultanas	Rosine, getrocknet	"Weinbeere;Sultanine"	Fruit	Früchte/Früchte getrocknet	1260	300	2.5	15.7	0	67.1	5.2	1
11	Fresh apple	Apple, fresh	Apfel, roh		Fruit	Früchte/Früchte frisch	240	55	0.3	85	0.1	11.6	2.1	0
12	Banana chips	Banana, raw	Banane, roh		Fruit	Früchte/Früchte frisch	410	95	1.1	74	3.8	17.2	2	0
12	Rhubarb, raw	Rhubarb, raw	Rhabarber, roh		Fruit	Früchte/Früchte frisch	60	15	0.6	93.5	0	1	2.5	0
12	Grape, fresh	Grape, fresh	Traube, roh	Weintraube	Fruit	Früchte/Früchte frisch	300	70	0.7	81.1	0	15	1.5	0
11	Fish sticks	Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil	Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl		Fish	Fisch/Meeresfische	1300	310	17.6	44.5	16.4	0.1	0.9	19
7	Sardine	Fish, sardine, raw	Sardine, roh		Fish	Fisch/Meeresfische	680	165	20.4	69	0	0	0	9
11	Tuna in oil	Tuna in oil, drained	Thon im Öl, abgetropft		Fish	Fisch/Meeresfische	780	190	27.6	62.4	0	0	0	8
15	Fish, tuna, raw	Fish, tuna, raw	Thunfisch, roh		Fish	Fisch/Meeresfische	630	150	23.4	69	0	0	0	6
11	Dried yeast	Yeast, dried	Bierhefe, getrocknet	"Bäckerhefe;Trockenhefe;Hefepulver"	Diverse	"Speziallebensmittel/Supplemente;Verschiedenes/Hefe"	1500	355	47.9	6	23.3	3.2	9.5	4
13	Cheese quiche	Savoury cheese quiche, baked (with cake dough)	Käsekuchen, gebacken (mit Kuchenteig)	Käsewähe	Diverse	Gerichte/Kuchen und Gratins	1220	295	14.9	50.7	13.3	1.2	0.6	19
10	Mayonnaise	Mayonnaise	Mayonnaise		Diverse	Fette und Öle/Mayonnaisen	3050	745	1.1	14.7	0	0.5	0	82
12	Baking yeast	Yeast (baking), pressed	Bäckerhefe, gepresst	Bierhefe	Diverse	"Verschiedenes/Hefe;Verschiedenes/Backzutaten"	410	100	16.7	72	1	0	6.9	1
8	Red wine	Wine red, 12 vol%	Wein rot, 12 vol%	Rotwein	Diverse	Alkoholhaltige Getränke/Wein	290	70	0.2	89.6	0	0.3	0	0
10	White wine	Wine white, spritzer, sour	Wein weiss, gespritzt, sauer		Diverse	Alkoholhaltige Getränke/Wein	150	35	0.1	94.5	0	0	0	0
10	Mozzarella	Mozzarella	Mozzarella		Diary	"Milch und Milchprodukte/Weichkäse;Milch und Milchprodukte/Frischkäse und Quark"	1050	255	18.7	58.8	0	0.7	0	20
15	Sk. milk powder	Skimmed milk powder	Magermilchpulver		Diary	Milch und Milchprodukte/Milch	1510	360	35.5	2.1	0	51.5	0	1
15	Whole milk, UHT	Whole milk, UHT	Vollmilch, UHT		Diary	Milch und Milchprodukte/Milch	290	70	3.3	87.2	0	4.6	0	4
16	Whole milk powd.	Whole milk powder	Vollmilchpulver		Diary	Milch und Milchprodukte/Milch	2010	480	24.7	3.5	0	35.1	0	26
11	Appenzeller	Appenzeller, at least 15% fidm	Appenzeller, viertelfett		Diary	Milch und Milchprodukte/Hartkäse	1000	240	33.8	48.2	0	0	0	11
16	BE cheese sliced	Bernese cheese for slicing	Berner Hobelkäse		Diary	Milch und Milchprodukte/Hartkäse	2040	495	30.6	21.9	0		0	41
