name D	synonyms D	category D	energy kJ	energy kcal	protein	water	starch	sugars	dietary fibres	fat, total
Bierhefe, getrocknet	"Bäckerhefe;Trockenhefe;Hefepulver"	"Speziallebensmittel/Supplemente;Verschiedenes/Hefe"	1500	355	47.9	6	23.3	3.2	9.5	4
Popcorn	Puffmais	Salzige Snacks/Sonstige salzige Snacks	1550	370	12	4.1	61.7	1.2	15	4
Laugengebäck trocken (Bretzel, Sticks)		Salzige Snacks/Salzsticks und Bretzel	1530	360	8.6	9	71.3	0.5	0.7	4
Pommes Chips		Salzige Snacks/Chips	2240	540	4.9	4.8	46.8	2.6	3.6	35
Baumnuss	Walnuss	Nüsse, Samen und Ölfrüchte	3060	745	15.9	4.1	1.5	2	6.7	71
Kokosnuss, getrocknet (Kokosrapseln, Kokosflocken)		Nüsse, Samen und Ölfrüchte	2720	660	6.2	2.2	0	6.4	20	63
Haselnuss		Nüsse, Samen und Ölfrüchte	2650	645	15.2	4	1.4	4.3	9.7	60
Sonnenblumenkerne		Nüsse, Samen und Ölfrüchte	2590	630	21.3	4.5	9.4	2.1	8	53
Mandel		Nüsse, Samen und Ölfrüchte	2380	580	21.2	11.7	4	3.9	13	50
Kürbiskerne		Nüsse, Samen und Ölfrüchte	2500	605	32.6	5.6	1.5	1.4	6	49
Pinienkerne		Nüsse, Samen und Ölfrüchte	2460	595	31.6	5.1	1.4	5.2	3.7	45
Leinsamen		Nüsse, Samen und Ölfrüchte	1950	475	17.9	6.4	0	1.6	27.3	34
Erdnuss		Nüsse, Samen und Ölfrüchte	2490	600	26	7	6.7	4	7.6	49
Olive, schwarz		Nüsse, Samen und Ölfrüchte	620	150	0.9	72.4	0		4.3	14
Olive, grün		Nüsse, Samen und Ölfrüchte	520	130	1.3	77	0	0	4	13
Mozzarella		"Milch und Milchprodukte/Weichkäse;Milch und Milchprodukte/Frischkäse und Quark"	1050	255	18.7	58.8	0	0.7	0	20
Magermilchpulver		Milch und Milchprodukte/Milch	1510	360	35.5	2.1	0	51.5	0	1
Vollmilchpulver		Milch und Milchprodukte/Milch	2010	480	24.7	3.5	0	35.1	0	26
Vollmilch, UHT		Milch und Milchprodukte/Milch	290	70	3.3	87.2	0	4.6	0	4
Reibkäse		Milch und Milchprodukte/Hartkäse	1650	400	32.3	30.7	0	0	0	29
Parmesan	Parmiggiano	Milch und Milchprodukte/Hartkäse	1560	375	36	29.5	0	0	0	26
Appenzeller, viertelfett		Milch und Milchprodukte/Hartkäse	1000	240	33.8	48.2	0	0	0	11
Greyerzer, vollfett	Gruyère	Milch und Milchprodukte/Hartkäse	1650	400	27	36	0	0	0	32
Teigwaren mit Ei, trocken	Eierteigwaren	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	1550	365	13.3	10.7	64.5	3.6	3.4	3
Teigwaren ohne Ei, Vollkorn, trocken		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	1440	345	13.4	10.5	59.5	0.7	11.5	3
Teigwaren ohne Ei, Vollkorn, gekocht im Salzwasser (unjodiert)		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	680	160	6.2	57.3	27.7	0.3	5.4	1
Teigwaren ohne Ei, trocken		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	1500	355	12.5	10	69.7	0.4	5.1	1
Teigwaren ohne Ei, gekocht im Salzwasser (unjodiert)		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teigwaren	700	165	5.8	57	32.5	0.2	2.4	1
Reis unpoliert, trocken	Vollkornreis	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	1510	360	7.5	11.4	72.7	1.2	3	3
Reis unpoliert, gekocht in Salzwasser (unjodiert)	Vollkornreis	Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	580	135	2.8	64.9	27.5	0.5	1.1	1
Reis poliert, trocken		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	1480	350	6.6	12.5	78.3	0	1.4	1
Reis parboiled, trocken		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	1480	350	6.9	12	78.2	0	1.4	1
Reis parboiled, gekocht in Salzwasser (unjodiert)		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	510	120	2.4	68.7	26.6	0	0.5	0
Reis poliert, gekocht in Salzwasser (unjodiert)		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Reis	490	115	2.2	69.7	25.9	0	0.5	0
Sojamehl, vollfett		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1680	405	40.8	11.6	0	3.1	18.5	21
Weizenmehl, Vollkorn, Typ 1700		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1430	340	13.5	12.5	60	1	11	2
Weizenmehl, Ruch, Typ 1100		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1440	340	13.5	14.5	63.5	0.6	5.7	2
Weizenmehl, halbweiss, Typ 720		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1440	340	13	14.3	65.2	0.5	5	2
Weizenmehl (Backmehl), Typ 550		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1460	345	12	14	68.5	0.3	3.2	1
Sojamehl, entfettet		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1040	250	45.2	7	0	0.6	27.5	1
Weizenmehl, weiss, Typ 400		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke	1470	350	11.5	13.2	70	0.3	3.2	1
Kartoffel, geschält, roh		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln	320	80	2	78.7	14.7	0.7	2.1	0
Kichererbse, getrocknet		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte	1370	330	18.6	13	41.9	2.4	15.5	5
Linse, getrocknet		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte	1400	335	24	10.2	49.4	1	11.2	1
Bohne, grün, getrocknet	Dörrbohne	Gemüse/Gemüse getrocknet	1060	255	20.2	6	10.3	9.5	25.3	2
Avocado, roh		"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte"	600	145	1.8	76.4	0	0.8	3	14
Peperoni, rot, roh		Gemüse/Gemüse frisch	140	35	0.9	91.3	0.1	5.1	2	0
Peperoni, grün, roh		Gemüse/Gemüse frisch	90	20	0.8	92.9	0.1	2.5	2	0
Karotte, roh		Gemüse/Gemüse frisch	160	40	0.8	89.2	0.2	6.4	2.6	0
Chinakohl, roh	"Pekingkohl;Selleriekohl;Japankohl"	Gemüse/Gemüse frisch	70	20	1.1	94.9	0	1.2	1.9	0
Tomate, roh		Gemüse/Gemüse frisch	90	25	0.8	93.8	0	3.2	1.2	0
Bohne, grün, roh	Gartenbohne	Gemüse/Gemüse frisch	130	35	2.1	90.3	1.4	2.2	3.1	0
Zwiebel, roh		Gemüse/Gemüse frisch	170	40	1.3	89	0	7	1.8	0
Eisbergsalat, roh		Gemüse/Gemüse frisch	70	20	1	94.6	0	1.6	1.8	0
Zuckerhutsalat, roh		Gemüse/Gemüse frisch	70	20	1.2	94.8	0	1.5	1.6	0
Kopfsalat, roh		Gemüse/Gemüse frisch	60	15	1.2	95	0	1	1.6	0
Gurke, roh	Salatgurke	Gemüse/Gemüse frisch	60	15	0.7	96	0.1	1.9	0.8	0
Apfel, geschält, getrocknet	Dörrapfel	Früchte/Früchte getrocknet	1250	295	1.5	20	0.1	60	9.2	2
Banane, gedörrt	Bananenchips	Früchte/Früchte getrocknet	1570	370	3.9	3	15.4	65.3	7.6	2
Rosine, getrocknet	"Weinbeere;Sultanine"	Früchte/Früchte getrocknet	1260	300	2.5	15.7	0	67.1	5.2	1
Dattel, getrocknet		Früchte/Früchte getrocknet	1290	305	2.5	17.5	0	69	7.1	1
Apfel, roh		Früchte/Früchte frisch	240	55	0.3	85	0.1	11.6	2.1	0
Banane, roh		Früchte/Früchte frisch	410	95	1.1	74	3.8	17.2	2	0
Traube, roh	Weintraube	Früchte/Früchte frisch	300	70	0.7	81.1	0	15	1.5	0
Rhabarber, roh		Früchte/Früchte frisch	60	15	0.6	93.5	0	1	2.5	0
Bauernsalami	Salami nach Bauernart	Fleisch- und Wurstwaren/Rohwurstware	2200	535	20.6	23.7	0	0.8	0	50
Trockenfleisch	"Hobelfleisch;Bündnerfleisch"	Fleisch- und Wurstwaren/Rohwurstware	810	190	39.3	52.2	0	0.4	0	4
"Schwein, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)"		Fleisch und Innereien/Schwein	1220	295	39.7	40.2	0	0	0	15
"Schwein, Schulter, Braten ""medium"", im Ofen gebraten (ohne Zugabe von Fett und Salz)"		Fleisch und Innereien/Schwein	960	230	31.1	53	0	0	0	12
"Schwein, Schulter, Braten ""rare"", im Ofen gebraten (ohne Zugabe von Fett und Salz)"		Fleisch und Innereien/Schwein	910	220	29.3	55.8	0	0	0	11
Schwein, Schulter, Braten, roh		Fleisch und Innereien/Schwein	760	185	24.6	62.9	0	0	0	9
Rind, Brust, gekocht (ohne Zugabe von Fett und Salz)		Fleisch und Innereien/Rind	1310	315	31.5	46.2	0	0	0	21
"Rind, Schulter, Braten ""well done"", im Ofen gebraten (ohne Zugabe von Fett und Salz)"		Fleisch und Innereien/Rind	800	190	34.8	57.7	0	0	0	6
Poulet, Brust, ohne Haut, roh (Schweiz)		Fleisch und Innereien/Geflügel	460	110	24.6	72.7		0	0	1
Sardine, roh		Fisch/Meeresfische	680	165	20.4	69	0	0	0	9
Thon im Öl, abgetropft		Fisch/Meeresfische	780	190	27.6	62.4	0	0	0	8
Thunfisch, roh		Fisch/Meeresfische	630	150	23.4	69	0	0	0	6
Vollrahm, UHT		"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter"	1380	335	2	59.2	0	3.1	0	35
Halbrahm, UHT		"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter"	1040	255	2.6	67.8	0	3.7	0	25
Mayonnaise		Fette und Öle/Mayonnaisen	3050	745	1.1	14.7	0	0.5	0	82
Vorzugsbutter		"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter"	3070	750	0.7	16.4	0	0.6	0	82
Cornflakes		Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien	1520	360	7.2	5.7	72	7.1	4	1
Haferflocken		Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime	1570	375	13.5	8.7		1	10.5	8
Gerstenflocken		Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime	1400	330	7.9	13	63.7	2.4	10.3	2
Wein rot, 12 vol%	Rotwein	Alkoholhaltige Getränke/Wein	290	70	0.2	89.6	0	0.3	0	0
Wein weiss, gespritzt, sauer		Alkoholhaltige Getränke/Wein	150	35	0.1	94.5	0	0	0	0
Bäckerhefe, gepresst	Bierhefe	"Verschiedenes/Hefe;Verschiedenes/Backzutaten"	410	100	16.7	72	1	0	6.9	1
Marzipan		Süssigkeiten/Sonstige Süssigkeiten	1960	470	6.1	1.9	0	68.6	4.9	18
Nussschnecke aus Hefeteig	Hefeschnecke	Süssigkeiten/Sonstige süsse Backwaren	1850	445	12	8.6	40.8	13.1	3.8	19
Milchschokolade mit Crèmefüllung (Gianduja, Nougat)		Süssigkeiten/Schokolade und Kakaoerzeugnisse	2380	575	6.9	1.6	0.8	46.4	3.6	39
Milchschokolade mit Nüssen		Süssigkeiten/Schokolade und Kakaoerzeugnisse	2360	570	8.4	1.7	0.6	44.7	3.2	38
Branchli (Milchschokolade mit Haselnusscrèmefüllung)	Schokoladenstängeli	Süssigkeiten/Schokolade und Kakaoerzeugnisse	2320	560	7.6	1.6	1	47.9	3.4	36
Haselnuss-Schokolade-Brotaufstrich		Süssigkeiten/Konfitüren und süsse Brotaufstriche	2280	550	5.8	1.2	0.6	54.8	2.9	33
Basler Leckerli		Süssigkeiten/Guetzli	1700	405	6.9	6.3	23.2	52	3.2	8
Gummibonbon mit Fruchtessenz		Süssigkeiten/Bonbons, Frucht- und Kaugummi	1450	345	6.6	12.1	3.9	74.7	0	0
Mais-Chips (Apérogebäck)		Salzige Snacks/Chips	2130	510	7.8	2	53.6	2.4	4.4	27
Pistazie		Nüsse, Samen und Ölfrüchte	2400	580	20.3	3.9	1.7	7.7	10	45
Cashewnuss	Cashewkern	Nüsse, Samen und Ölfrüchte	2460	595	18.2	5.2	23.5	5.9	3.6	45
Berner Hobelkäse		Milch und Milchprodukte/Hartkäse	2040	495	30.6	21.9	0		0	41
Blätterteigpastetli, Butter		Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte	2350	565	5.8	7.3	42.1	1	2	41
Banane, getrocknet		Früchte/Früchte getrocknet	1160	275	3	28	16.5	43.7	5.5	1
Schweizer Salami, Schweine- und Rindfleisch		Fleisch- und Wurstwaren/Rohwurstware	2020	490	22	27.7	0	1.3	0	44
Landjäger		Fleisch- und Wurstwaren/Rohwurstware	2030	495	26.6	26.6	0	0	0	43
Zwieback		Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln	1810	430	14.7	3.6	54.6	14.4	2.6	10
Knäckebrot, Vollkorn		Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln	1380	330	10.4	12.9	61.1	0.8	10	2
Bauernbrot	Burebrot	Brote, Flocken und Frühstückscerealien/Brote und Brotwaren	1020	240	9	38.2	41.7	2.5	4.2	2
Halbweissbrot		Brote, Flocken und Frühstückscerealien/Brote und Brotwaren	1020	240	9.4	39.4	45.7	0.4	3.7	1
Weissbrot		Brote, Flocken und Frühstückscerealien/Brote und Brotwaren	1030	245	8.5	39.3	48.2	0.2	2.5	1
Käsekuchen, gebacken (mit Kuchenteig)	Käsewähe	Gerichte/Kuchen und Gratins	1220	295	14.9	50.7	13.3	1.2	0.6	19
Fischstäbchen (paniert und vorfritiert), gebraten in HOLL-Rapsöl		Fisch/Meeresfische	1300	310	17.6	44.5	16.4	0.1	0.9	19
